Shirt Name,Shirt Price,Original Shirt Price,Promotion,Link,Weave
Sky Blue Oxford,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/sky-blue-oxford,oxford
Lustrous Fine White,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/lusterous-fine-white,Unknown
Classic Blue Oxford,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/classic-blue-oxford,oxford
Warzone Plus White Oxford,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/warzone-plus-white-oxford,oxford
Sky Blue Summer Chambray,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/sky-blue-summer-chambray,chambray
Blue University Stripes Oxford                      (Sold Out),$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/blue-university-stripes-oxford,oxford
Cool White Linen Cotton,$79.99,$129.99,True,http://custom.luxire.com/collections/dress-shirts/products/cool-white-linen-cotton,linen
Pale Blue Poplin 2/100                      (Sold Out),$69.99,$100.00,True,http://custom.luxire.com/collections/dress-shirts/products/pale-blue-poplin,poplin
Warzone White Oxford,$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/warzone-white-oxford,oxford
White Pinpoint Oxford,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/white-pinpoint-oxford,oxford
Warzone White Twill                      (Sold Out),$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/warzone-white-twill,twill
Blue Pinpoint Oxford,$59.99,$59.99,False,http://custom.luxire.com/collections/dress-shirts/products/blue-pinpoint-oxford,oxford
White Twill,$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/white-twill,twill
Everyday Shirt: Pale Blue End-on-End,$59.99,$59.99,False,http://custom.luxire.com/collections/dress-shirts/products/everyday_shirt_pale_blue_end_on_end,end-on-end
Classic Blue Summer Oxford,$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/classic-blue-summer-oxford,oxford
White Poplin / Plain Weave 80/2,$59.99,$59.99,False,http://custom.luxire.com/collections/dress-shirts/products/white-poplin-plain-weave-80-2,poplin
Dark Indigo Denim Chambray,$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/navy-denim-chambray,chambray
Pale Pink Classic Oxford                      (Sold Out),$89.99,$89.99,False,http://custom.luxire.com/collections/dress-shirts/products/pale-pink-classic-oxford,oxford
Blue Denim Slubby Chambray,$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/blue-denim-slubby-chambray,chambray
